ObservationId,SpeciesId,SpeciesName,CountryId,WKT,Centroid,Year,DataPartnerName,Reference,ReferenceUrl,GeoJSON.type,GeoJSON.coordinates
C74EF1FE-645E-F011-9112-08F1EAD81ED0,R06574,Gambusia holbrooki,BG,POINT (23.4239996 42.5877851),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/6288b9f2ace2b39c9ee26e3b,Point,
C84EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8055507 45.8196932),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/6311c09d8d5f7ca8dbea0874,Point,
C94EF1FE-645E-F011-9112-08F1EAD81ED0,R12250,Procambarus clarkii,ES,POINT (-0.36429226 39.21804045),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/62b4527596b97cf638662138,Point,
CA4EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,HR,POINT (17.3273548126235 42.9528886815713),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/613f9d9681fb1ded16f31ac2,Point,
CB4EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.6267561 45.899761),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/66b48c8942ea5f3793be0923,Point,
CC4EF1FE-645E-F011-9112-08F1EAD81ED0,R18934,Myriophyllum aquaticum,PT,POINT (-8.4953683036747 41.0982860841171),FALSE,2023,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/65355e8334067d260a346341,Point,
CD4EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.81540830941754 45.7822827539841),FALSE,2019,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/5dcbc57514ca6438c35e7954,Point,
CE4EF1FE-645E-F011-9112-08F1EAD81ED0,R09715,Myiopsitta monachus,ES,POINT (-3.7089123 40.372684),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/62932d4e9f2af7dc30dfbb7f,Point,
CF4EF1FE-645E-F011-9112-08F1EAD81ED0,R05500,Elodea canadensis,BG,POINT (24.64953804 42.1515045163889),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/63413d05bbac7c435b17e401,Point,
D04EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.6525725 45.8958567),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/6319aa882f934d53a39b27c6,Point,
D14EF1FE-645E-F011-9112-08F1EAD81ED0,R15970,Vespa velutina nigrithorax,IT,POINT (8.9351512 45.7875225),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/628f64ec9f2af7dc30dfbb7e,Point,
D24EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8303216 45.8369259),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/66b0a51846d6df4bc5882d8f,Point,
D34EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8237517 45.822342),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/610b8a30ff41760f537e7298,Point,
D44EF1FE-645E-F011-9112-08F1EAD81ED0,R05386,Echinocystis lobata,RS,POINT (19.9897492681067 44.7282084118362),FALSE,2020,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/5fb7a5e489fb3bac91b14fe3,Point,
D54EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8228302 45.8220614),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/605483c1c7323a501ae1344d,Point,
D64EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.733157 45.9924615),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/66e167d73452cfa4741745a8,Point,
D74EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.81024416915533 45.8246403466672),FALSE,2019,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/5dbfe0fa37d867c837cbbf1d,Point,
D84EF1FE-645E-F011-9112-08F1EAD81ED0,R00042,Acacia karroo,MT,POINT (14.5674053 35.8421689),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/61cdf917db4ba0e5b9073420,Point,
D94EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8078032 45.8252577),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/60ca1a5d31ea43d3f0a7352d,Point,
DA4EF1FE-645E-F011-9112-08F1EAD81ED0,R08376,Lepomis gibbosus,BG,POINT (23.4188294 42.585911),FALSE,2022,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/6288b966ace2b39c9ee26e3a,Point,
DB4EF1FE-645E-F011-9112-08F1EAD81ED0,R10004,Nicotiana glauca,ES,POINT (-0.0644839 38.5637217),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/66c6264c92d55051b26e2243,Point,
DC4EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8051486 45.8170228),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/66c1f9de2f28887016d20018,Point,
DD4EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8752989 45.7646771),FALSE,2024,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/6703b1c6cf2ae23bf45e536f,Point,
DE4EF1FE-645E-F011-9112-08F1EAD81ED0,R08062,Lagarosiphon major,IT,POINT (8.60509947 45.80546556),FALSE,2017,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/594c0075dff661b40a8a74de,Point,
DF4EF1FE-645E-F011-9112-08F1EAD81ED0,R00481,Alburnus alburnus,PT,POINT (-8.4995108 41.1130061),FALSE,2023,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/652aba1a34067d260a34632c,Point,
E04EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.60769318863648 45.7986412793715),FALSE,2019,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/5d9aec0221dc7b184f5b8064,Point,
E14EF1FE-645E-F011-9112-08F1EAD81ED0,R00460,Ailanthus altissima,IT,POINT (8.8483195 45.8121561),FALSE,2021,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/61811c8067c0c276caf2aaa4,Point,
E24EF1FE-645E-F011-9112-08F1EAD81ED0,R11485,Phytolacca americana,RS,POINT (19.9866051357031 44.734787987307),FALSE,2020,IASE,Invasive Alien Species in Europe,https://easin.jrc.ec.europa.eu/ias/speciesreport/details/5fb791a689fb3bac91b14fdf,Point,
